Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Seductive Sunday  - Floorwork ,Feb25Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/2z_srY0
Seductive Sunday  - Pole ,Feb25Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/o5_MV7J
Rock the Pole. A Trilogie. ,März09bis März 30,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/0u01Mza
Lapdance. A Trilogie. ,März09bis März 30,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/DBxar8u
Endless Spins mit lea,März16Samstag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/GlPG304
"Heels ""What its worth"" mit Lea",März16Samstag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/wj20M8W
Seductive Sunday  - Pole ,März24Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/113IYbR
Seductive Chairdance ,März24Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/vyTj8JR
Rock the Pole mit Emmy ,Apr07Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/GMeuKSV
Rock the Chair mit Emmy ,Apr07Sonntag,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/461op6s
Rock the Floor mit Emmy ,Apr07Sonntag,Ausgebucht,1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/NrFmto0
Get your Shoulderstand - Floorworktechnik mit Becca,Apr28Sonntag,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,"Eickeler Markt 3A, 44651 Herne",https://www.eversports.de/e/workshop/km4K7Yv
